,Item Name,Length (ft),Width (ft),Height (ft),Quantity,Item Volume (cuft),Total Volume (cuft)
0,1 Seater Sofa,2.8,2.5,3.0,3,21.0,63.0
1,1 Seater Sofa - Fabric,3.0,2.7,2.8,1,22.68,22.68
2,2 Seater Sofa,4.8,2.7,3.0,4,38.88,155.52
3,2 Seater Sofa - Fabric,5.0,2.8,2.8,2,39.2,78.4
4,Bed Side Table,1.5,1.5,1.5,6,3.38,20.28
5,Centre Table - Glass,3.0,1.5,1.5,2,6.75,13.5
6,Centre Table - Marble,3.0,1.5,1.5,3,6.75,20.25
7,Centre Table - Plastic,3.0,1.5,1.5,2,6.75,13.5
8,Centre Table - Wooden,3.0,1.5,1.5,1,6.75,6.75
9,Coffee Table - Large,3.5,2.0,1.5,1,10.5,10.5
10,Dining Table 6-Seater,5.5,3.0,2.5,2,41.25,82.5
11,Teapoy Table - Glass,2.5,1.5,1.5,1,5.62,5.62
12,Arm Chair - Foldable,2.0,2.0,3.0,8,12.0,96.0
13,Arm Chair - UnFoldable,2.0,2.0,3.5,9,14.0,126.0
14,Bar Chair / Stool,1.5,1.5,4.0,9,9.0,81.0
15,Bean Bags,2.5,2.5,3.0,7,18.75,131.25
16,Bench,4.0,1.5,2.0,8,12.0,96.0
17,Cafeteria Chair,1.5,1.5,3.0,9,6.75,60.75
18,Wooden Chair,1.5,1.5,3.0,9,6.75,60.75
19,King Size Cot - With Storage,6.5,6.0,2.5,1,97.5,97.5
20,Triple Door Wooden Wardrobe,4.5,1.8,6.5,1,52.65,52.65
21,Wardrobe Large - Non Dismantlable,6.0,2.5,7.0,1,105.0,105.0
22,Baby Swing - Large,4.9,2.3,4.9,7,55.22,386.54
23,Baby Swing - Small,3.3,1.6,3.3,8,17.42,139.36
24,Bar Trolley,2.6,1.3,2.6,9,8.79,79.11
25,Shoe Rack - Wooden Cabinet,3.0,1.5,4.0,9,18.0,162.0
26,Show Display Case with Glass,3.3,1.3,5.9,5,25.31,126.55
27,Tent House,3.3,2.3,3.3,7,25.05,175.35
28,TV Cabinet,4.0,1.5,2.5,5,15.0,75.0
29,"TV LED/LCD 65""–75""",5.3,3.0,0.4,1,6.36,6.36
30,"TV LED/LCD 50""–55""",4.0,2.3,0.4,9,3.68,33.12
31,"TV LED/LCD 40""–43""",3.2,1.9,0.3,5,1.82,9.1
32,"TV LED/LCD 24""–32""",2.1,1.2,0.3,9,0.76,6.84
33,Single Door (170–190L),2.0,1.7,4.5,2,15.3,30.6
34,Double Door (280–310L),2.2,1.9,5.2,1,21.74,21.74
35,Triple Door (250–300L),2.3,2.0,5.5,1,25.3,25.3
36,Washing machine Top-load <6.5kg,2.1,1.7,2.8,1,10.0,10.0
37,Benches & Racks,5.5,2.5,3.0,1,41.25,41.25
38,Boxing Bag & Gloves,1.5,1.5,4.0,1,9.0,9.0
39,Boxigo Carton Box (22×16×16),1.8,1.3,1.3,4,3.04,12.16
